区分,名称,N,P,K,苦土,石灰,特徴,その他
窒素肥料,硫酸アンモニア(硫安),21,,,,,速効性｡硫酸根で酸性化｡吸湿性小,元肥と追肥
窒素肥料,尿素,46,,,,,速効性｡葉面散布可｡吸湿性大,元肥と追肥
窒素肥料,被覆尿素･LPコート100,40,,,,,超緩効性｡りん酸･加里集積ハウス向け,元肥
窒素肥料,石灰窒素･防散,21,,,,55,殺虫･殺菌･殺草効果,元肥
窒素肥料,石灰窒素･粒状,21,,,,55,硝酸化成抑制で緩効性,
窒素肥料,硝酸石灰(ニトライム),14,,,,,速効性｡硝酸態N｡養液栽培可,元肥と追肥
窒素肥料,被覆硝酸石灰(ロングショウカル),12,,,,,石灰欠乏対策｡40?140日タイプ,元肥と追肥

りん酸肥料,過燐酸石灰(過石)･粒状,,17.5,,,,水溶性速効性｡弱酸性｡吸着されやすい,元肥
りん酸肥料,重過燐酸石灰(重過石),,34,,,,水溶性速効性｡弱酸性｡吸着されやすい,元肥
りん酸肥料,熔成燐肥･粒状(ようりん),,17,,12,45,く溶性緩効性｡アルカリ性で土壌改良,元肥
りん酸肥料,BM苦土重焼燐,,35,,4.5,,く溶性+水溶性苦土｡微量要素含む,元肥
りん酸肥料,粒状とん骨りん,3,20,,,,豚骨粉主体｡有機48%,元肥
りん酸肥料,BMフミン,,5,,10,45,ようりん+微量要素+腐植酸,元肥

加里肥料,硫酸加里(硫加),,,50,,,速効性｡酸性化｡吸湿性小,元肥と追肥
加里肥料,塩化加里(塩加),,,60,,,速効性｡酸性化｡吸湿性大,元肥と追肥
加里肥料,ケイ酸加里プレミア34,,,20,4,,く溶性加里で緩効性｡けい酸34%,元肥と追肥
加里肥料,粒状草木加里,,2,30,3,,天然加里｡緩効性｡アルカリ分含む,元肥と追肥
加里肥料,硫酸加里苦土(サルポマグ),,,21,18,,速効性｡加里+苦土補給,元肥と追肥

石灰･苦土肥料,顆粒消石灰,,,,,72,酸度矯正｡石灰補給,元肥前
石灰･苦土肥料,粒状苦土石灰(M-10),,,,10,55,酸度矯正｡石灰･苦土補給,元肥前
石灰･苦土肥料,顆粒苦土生石灰,,,,30,100,アルカリ分高い｡酸度矯正,元肥前
石灰･苦土肥料,サンライム･粒状(かき殻石灰),,,,,46,有機由来石灰｡緩効性,元肥前
石灰･苦土肥料,畑のカルシウム,,,,,中性,硫酸カルシウム｡pH上げず石灰補給,元肥と追肥
石灰･苦土肥料,硫酸マグネシウム(みどりマグ),,,,,,水溶性速効性｡中性｡成分15?25%,元肥と追肥

有機質肥料･堆肥,なたね油粕,5.5,2.5,1.3,,,発芽障害注意｡2?3週間前施用,元肥と追肥
有機質肥料･堆肥,魚粕,6?8,6?8,,,,比較的速効性｡1?2週間前施用,元肥と追肥
有機質肥料･堆肥,蒸製骨粉,4,20,,,,有機りん酸肥料｡緩効性,元肥
有機質肥料･堆肥,米ぬか,2,4,1.5,,,難分解性で緩効性,元肥
有機質肥料･堆肥,発酵鶏ふん,3,5,2.5,,CN比13,急激分解｡2週間前施用,元肥
有機質肥料･堆肥,乾燥鶏ふん,3,5,3,,CN比8,未発酵｡1ヶ月前施用,元肥
有機質肥料･堆肥,有機アグレット673特号,6,7,3,1,,有機100%配合,元肥と追肥
