区分,名称,N,P,K,苦土,石灰,特徴,その他
配合肥料養液,有機到来ペレット,7,7,5,,,有機72% 鮪鰹魚粕 厳選原料!,
配合肥料養液,彩美ペレット,8,2,7,,,有機69% 鰹入魚粉配合,
配合肥料養液,ペレ丸8番エコ特,8,8,8,,,有機63% 特別栽培対応肥料,
配合肥料養液,アミノミクス642-3,6,4,12,,,有機55% 肥効120日 BB肥料,
配合肥料養液,コージくん5号,5,5,5,,,有機90% 発酵済みボカシ有機,
配合肥料養液,コージくんく号,6,1,5,,,有機90% リン酸の多い圃場に,
配合肥料養液,農耕養液1号,14,8,25,,,養液栽培肥料 苦土カルシウム入,
堆肥,コージくん本生,4,2,1,,,おすすめ! 酒粕配合 地温の上昇,
堆肥,コージくん本生ペレット,6,1,,,,低温成形 撒きやすいペレット,
堆肥,堆肥のそこカ,1.4,2.7,1.5,,,土壌の保水力 保肥力 泥炭腐植,
単肥肥料,ニーム核油かす,6,1,3,,,有機JAS規格適合資材,
単肥肥料,かつお魚粉,7,7,,,,カツオ魚粉100%,
単肥肥料,純正7-5魚粉,7,5,,,,マグロ主体魚粕100% 国産品,
単肥肥料,皮革粉ブレンド,10,,,,,動物皮主原料 ゆっくり長く効く,
単肥肥料,かに殻フレーク,3,2,,,,100%天然有機 キチン質18%,
単肥肥料,天然サポニン粕,1,,2,,,茶実粕100% サポニン効果,
単肥肥料,カリプラス,,,30,,,椰子灰 粒状カリ肥料,
単肥肥料,骨粉ペレット,3,17,,,,有機100% 国産鳥豚由来,
単肥肥料,かきがら一番,0.21,0.27,0.08,0.84,85.1,非加熱 無添加 ミネラル豊富,
単肥肥料,活緑,1,0.128,0.036,,50.1,天然の土改材 卵殻100%,
単肥肥料,トップガードペレット,,,,,,複合発酵菌 アミノ酸発酵ボカシ,
,,,,,,,,
土壌改良材,ヘボノーノド,,,,,,床吃/進冰/返小エビ上・肉叉取フレ/0,
土壌改良材,粉炭ベストワン,,,,,,保水・浸水・肥持ち良く 有害ガス吸着,
土壌改良材,チャックス,,,,,,ツバキ科植物 天然サポニン,
土壌改良材,サンラテール,,,,,,2:1型モンモリロナイト 粘土鉱物,
土壌改良材,けいめい苦土,,,,87,,アルカリ度130 溶性苦土87%,
土壌改良材,天然マグカル,,,,15,41,石灰41% 苦土15%,
土壌改良材,すごみペレット,,,,10,,微量要素肥料 マグネシウム10% マンガン7% ほう素1%,
葉面散布剤,菜彩(なさい),1,30,16,,,有機入り亜リン酸,
葉面散布剤,きぼう,,,,,,有機酸カルシウム,
葉面散布剤,アミンサイド,6,6,6,10,,即効性アミノ酸 水溶性苦土10%,
葉面散布剤,サンライトアップネオ,,,,,,有機クエン酸含有 微生物培養液 微量要素資材,
葉面散布剤,福麿(ふくまろ),,,,,,ニームオイル入りカルシウム剤,
葉面散布剤,ボニトエキス1号(5kg),6,4,4,,,総合アミノ酸液肥,
葉面散布剤,ボニトエキス1号(10kg),6,4,4,,,味が良くなる カツオ抽出エキス,
葉面散布剤,ボニトエキス2号(5kg),3,5,3,,,葉面散布・灌水,
葉面散布剤,ボニトエキス2号(10kg),3,5,3,,,1号の倍のアミノ酸含有,
葉面散布剤,トップハーベスト,,,,,,納豆菌・乳酸菌・酵母菌・ミネラル入,
葉面散布剤,トレハトップ,,2,1,,,トレハロース入り微量要素,
葉面散布剤,Kチャージα,1,1,38,,,高温対策・欠乏対策,
葉面散布剤,ケイ酸貯金,,,,,,ケイ酸22% フルボ酸含有,
液肥,サンエイヨー246,12,4,6,,,,
液肥,サンエイヨー844,8,4,4,,,有機液肥(魚類アミノ酸入り),
液肥,サンエイヨー484,4,8,4,,,,
液肥,サンエイヨーKアップ,5,2,8,,,加里をパワーアップ,
液肥,マイクロゲット,,,,,,クエン酸・トレハ入り微量要素,
液肥,ガイア蘇生,,,,,,好熱性細菌 キチン酵素資材,
液肥,リキッドY,,,3,,,糖蜜 + 腐植酸,
